Latin Name,Common Name,Reference,Original Map No(s).,SHP/*
Quercus falcata,southern red oak,Little (1971),165-E,querfalc
Quercus gambelii,Gambel oak,Little (1971),164-W,quergamb
Quercus garryana,Oregon white oak,Little (1971),166-W,quergarr
Quercus georgiana,Georgia oak,Little (1977),110,quergeor
Quercus glaucoides,Lacey oak,Little (1976),134,querglau
Quercus graciliformis,Chisos oak,Little (1976),135,quergrac
Quercus gravesii,Graves oak incl. Q. tardifolia (Muller) lateleaf oak,Little (1976),136,quergrav
Quercus grisea,gray oak,Little (1976),137,quergris
Quercus havardii,Havard oak,Little (1976),138,querhava
Quercus hypoleucoides,silverleaf oak,Little (1976),139,querhypo
Quercus ilicifolia,bear oak,Little (1977),111,querilic
Quercus imbricaria,shingle oak,Little (1977),112,querimbr
Quercus incana,bluejack oak,Little (1977),113,querinca
Quercus kelloggii,California black oak,Little (1971),167-W,querkell
Quercus laevis,turkey oak,Little (1977),114,querlaev
Quercus laurifolia,laurel oak,Little (1971),168-E,querlaur
Quercus lobata,California white oak,Little (1971),170-W,querloba
Quercus lyrata,overcup oak,Little (1971),169-E,querlyra
Quercus macdonaldii,McDonald oak,Little (1976),140,quermacd
Quercus macrocarpa,bur oak,Little (1971),"172-W, 172-E",quermacr
Quercus marilandica,blackjack oak,Little (1971),171-E,quermari
Quercus michauxii,swamp chestnut oak,Little (1971),174-E,quermich
Quercus mohriana,Mohrs oak,Little (1976),141,quermohr
Quercus muehlenbergii,chinkapin oak,Little (1971),"173-W, 173-E",quermueh
Quercus myrtifolia,myrtle oak,Little (1977),115,quermyrt
Quercus nigra,water oak,Little (1971),175-E,quernigr
Quercus nuttallii,Nuttall oak,Little (1971),176-E,quernutt
Quercus oblongifolia,Mexican blue oak,Little (1976),142,queroblo
Quercus oglethorpensis,Oglethorpe oak,Little (1977),116,querogle
Quercus palustris,pin oak,Little (1971),177-E,querpalu
Quercus phellos,willow oak,Little (1971),178-E,querphel
Quercus prinus,chestnut oak,Little (1971),179-E,querprin
Quercus pungens,sandpaper oak,Little (1976),144,querpung
Quercus rubra,northern red oak,Little (1971),"180-N, 180-E",querrubr
Quercus rugosa,netleaf oak,Little (1976),"143-N, 143-SW",querrugo
Quercus shumardii,Shumard oak,Little (1971),"181-W, 181-E",quershum
Quercus stellata,post oak,Little (1971),"182-W, 182-E",querstel
Quercus tomentella,island live oak,Little (1976),145,quertome
Quercus toumeyi,Toumey oak,Little (1976),146,quertoum
Quercus turbinella,shrub live oak,Little (1976),147,querturb
Quercus velutina,black oak,Little (1971),183-E,quervelu
Quercus virginiana,live oak,Little (1971),"184-N, 184-W, 184-E",quervirg
Quercus wislizeni,interior live oak,Little (1976),148,querwisl
Rapanea punctata,Florida rapanea,Little (1978),236,rapapunc
Reynosia septentrionalis,darling plum,Little (1978),237,reynsept
Rhamnus betulaefolia,birchleaf buckthorn,Little (1976),149,rhambetu
Rhamnus californica,California buckthorn,Little (1976),151,rhamcali
Rhamnus caroliniana,Carolina buckthorn,Little (1977),"117-N,117-SE",rhamcaro
Rhamnus crocea,hollyleaf buckthorn,Little (1976),"150-NW, 150-SW",rhamcroc
Rhamnus purshiana,cascara buckthorn,Little (1971),"185-W, 185-N",rhampurs
Rhizophora mangle,mangrove,"Little (1971, 1978)","186-N, 186-E,238",rhizmang
Rhododendron catawbiense,Catawba rhododendron,Little (1977),118,rhodcata
Rhododendron macrophyllum,Pacific rhododendron,Little (1976),152,rhodmacr
Rhododendron maximum,rosebay rhododendron,Little (1977),119,rhodmaxi
Rhus choriophylla,Mearns sumac,Little (1976),153,rhuschor
Rhus copallina,shining sumac,Little (1977),"120-SE, 120-N",rhuscopa
Rhus glabra,smooth sumac,"Little (1976, 1977)","155-NW, 155-SW, 121-NE,121-SE",rhusglab
Rhus integrifolia,lemonade sumac,Little (1976),154,rhusinte
Rhus kearneyi,Kearney sumac,Little (1976),156,rhuskear
Rhus lanceolata,prairie sumac,Little (1976),"158-N, 158-SW",rhuslanc
Rhus laurina,laurel sumac,Little (1976),157,rhuslaur
Rhus microphylla,littleleaf sumac,Little (1976),159,rhusmicr
Rhus ovata,sugar sumac,Little (1976),160,rhusovat
Rhus typhina,staghorn sumac,Little (1977),"122-N, 122-NE",rhustyph
Robinia kelseyi,Kelsey locust,Little (1977),123,robikels
Robinia neomexicana,New Mexican locust,Little (1976),162,robineom
Robinia pseudoacacia,black locust,Little (1971),187-E,robipseu
Robinia viscosa,clammy locust,Little (1977),124,robivisc
Roystonea elata,Florida royalpalm,Little (1978),239,royselat
Sabal mexicana,Mexican palmetto,Little (1976),"161-N, 161-SW",sabamexi
Sabal minor,dwarf palmetto,Little (1977),125,sabamino
Sabal palmetto,cabbage palmetto,Little (1971),188-E,sabapalm
Salix alaxensis,feltleaf willow,Little (1976),163-N,salialax
Salix amygdaloides,peachleaf willow,Little (1971),"189-W,189-E,189-N",saliamyg
Salix arbusculoides,peachleaf willow,Little (1976),164-N,saliarbu
Salix bebbiana,Bebb willow,"Little (1976, 1977)","165-N, 165-NW, 165-SW, 127-N, 127-NE",salibebb
Salix bonplandiana,Bonpland willow,Little (1976),"166-N, 166-SW",salibonp
Salix caroliniana,Coastal Plain willow,Little (1977),126,salicaro
Salix discolor,pussy willow,"Little (1976, 1977)","167-N, 167-W, 128-N, 128-NE",salidisc
Salix exigua,coyote willow,"Little (1976, 1977)","168-NW, 168-SW, 168-N, 129-NE, 129-SE, 129-N",saliexig
Salix floridana,Florida willow,Little (1977),130,saliflor
Salix fluviatilis,river willow,Little (1976),169,salifluv
Salix geyeriana,Geyer willow,Little (1976),170,saligeye
Salix hindsiana,Hinds willow,Little (1976),171,salihind
Salix hookeriana,Hooker willow,Little (1976),"172-N, 172-W",salihook
Salix laevigata,red willow,Little (1976),176,salilaev
Salix lasiandra,Pacific willow,Little (1976),"173-N, 173-W",salilasi
Salix lasiolepis,arroyo willow,Little (1976),"174-NW, 174-SW",salilaso
Salix lucida,shining willow,Little (1977),"131-N, 131-NE",saliluci
Salix mackenzieana,Mackenzie willow,Little (1976),"175-N, 175-W",salimack
Salix nigra,black willow,"Little (1971, 1976)","190-N,190-W,190-E, 177-N, 177-NW, 177-SW",salinigr
Salix pellita,satiny willow,Little (1977),"132-N, 132-NE",salipell
Salix petiolaris,meadow willow,"Little (1976, 1977)","178-N, 178-NW, 133-N, 133-NE",salipeti
Salix pyrifolia,balsam willow,Little (1977),"134-N, 134-NE",salipyri
Salix scouleriana,Scouler willow,Little (1976),"179-N, 179-W",saliscou
Salix sericea,silky willow,Little (1977),"135-N, 135-NE",saliseri
Salix sessilifolia,northwest willow,Little (1976),180,salisess
Salix sitchensis,Sitka willow,Little (1976),"182-N, 182-W",salisitc
Salix taxifolia,yewleaf willow,Little (1976),"183-N, 183-SW",salitaxi
Salix tracyi,Tracy willow,Little (1976),181,salitrac
Sambucus callicarpa,Pacific red elder,Little (1976),"184-N, 184-W",sambcall
Sambucus canadensis,American elder,Little (1977),"136-NE, 136-SE, 136-N",sambcana
Sambucus glauca,blueberry elder,Little (1976),"185-NW, 185-SW",sambglau
Sambucus melanocarpa,blackbead elder,Little (1976),187,sambmela
Sambucus mexicana,Mexican elder,Little (1976),"186-N, 186-W",sambmexi
Sambucus velutina,velvet elder,Little (1976),188,sambvelu
Sapium biloculare,jumping bean sapium,Little (1976),190,sapibilo
Sapindus drummondii,western soapberry,"Little (1976, 1977)","189, 138",sapidrum
Sapindus saponaria,wingleaf soapberry,"Little (1977, 1978)","139, 240",sapisapo
Sassafras albidum,sassafras,Little (1971),191-E,sassalbi
Savia bahamensis,maidenbush,Little (1978),241,savibaha
Schaefferia frutescens,Florida boxwood,Little (1978),242,schafrut
Schoepfia chrysophylloides,graytwig,Little (1978),243,schochry
Sequoiadendron giganteum,giant sequoia,Little (1971),82-W,sequgiga
Sequoia sempervirens,redwood,Little (1971),81-W,sequsemp
Serenoa repens,saw palmetto,Little (1977),137,sererepe
Shepherdia argentea,silver buffaloberry,"Little (1977, 1976)","144,191-NW,191-SW",sheparge
Simarouba glauca,paradise tree,Little (1978),244,simaglau
Solanum erianthum,mullein nightshade,"Little (1977, 1978)","140-N, 140-SE, 245",solaeria
Sophora affinis,Texas sophora,Little (1977),145,sophaffi
Sophora secundiflora,mescalbean,Little (1976),"192-N, 192-SW",sophsecu
Sorbus americana,American mountain ash,Little (1977),"141-N, 141-SE",sorbamer
Sorbus decora,showy mountain ash,Little (1977),"142-N, 142-NE",sorbdeco
Sorbus scopulina,Greene mountain ash,Little (1976),"193-N, 193-W",sorbscop
Sorbus sitchensis,Sitka mountain ash,Little (1976),"194-N, 194-W",sorbsitc
Staphylea bolanderi,Sierra bladdernut,Little (1976),195,stapbola
Staphylea trifolia,American bladdernut,Little (1977),"143-NE, 143-SE",staptrif
Stewartia malacodendron,Virginia stewartia,Little (1977),146,stewmala
Stewartia ovata,mountain stewartia,Little (1977),147,stewovat
Styrax americana,American snowbell,Little (1977),148,styramer
Styrax grandifolia,bigleaf snowbell,Little (1977),149,styrgran
Styrax platanifolia,sycamore leaf snowbell,Little (1977),150,styrplat
Suriana maritima,baycedar,Little (1978),246,surimari
Swietenia mahagoni,West Indies mahogany,"Little (1978, 1971)","247, 192-E",swiemaha
Symplocos tinctoria,common sweetleaf,Little (1977),151,symptinc
Taxodium distichum,baldcypress,Little (1971),84-E,taxodist
Taxodium mucronatum,Montezuma baldcypress,Little (1971),"83-W, 83-N",taxomucr
Taxus brevifolia,Pacific yew,Little (1971),"86-W, 86-N",taxubrev
Taxus canadensis,Canada yew,Little (1971),"86.1-N, 86.1-E",taxucana
Taxus floridana,Florida yew,Little (1971),85-E,taxuflor
Tetrazygia bicolor,Florida tetrazygia,Little (1978),248,tetrbico
Thrinax morrisii,key thatchpalm,Little (1978),249,thrimorr
Thrinax radiata,Florida thatchpalm,Little (1978),250,thriradi
Thuja occidentalis,northern white cedar,Little (1971),"89-N, 89-E",thujocci
Thuja plicata,western redcedar,Little (1971),"90-W, 90-N",thujplic
Tilia americana,American basswood,Little (1971),193-E,tiliamer
Tilia caroliniana,Carolina basswood,Little (1977),153,tilicaro
Tilia heterophylla,white basswood,Little (1971),194-E,tilihete
Torreya californica,California torreya,Little (1971),87-W,torrcali
Torreya taxifolia,Florida torreya,Little (1971),88-E,torrtaxi
Toxicodendron vernix,poison sumac,Little (1977),"152-NE, 152-SE",toxivern
Trema lamarckiana,West Indies trema,Little (1978),251,tremlama
Trema micrantha,Florida trema,Little (1978),252,tremmicr
Tsuga canadensis,eastern hemlock,Little (1971),"91-N, 91-E",tsugcana
Tsuga caroliniana,Carolina hemlock,Little (1971),94-E,tsugcaro
Tsuga heterophylla,western hemlock,Little (1971),"92-W, 92-N",tsughete
Tsuga mertensiana,mountain hemlock,Little (1971),"93-W, 93-N",tsugmert
Ulmus alata,winged elm,Little (1971),195-E,ulmualat
Ulmus americana,American elm,Little (1971),"196-N, 196-W, 196-E",ulmuamer
Ulmus crassifolia,cedar elm,Little (1971),197-E,ulmucras
Ulmus rubra,slippery elm,Little (1971),"198-W, 198-E",ulmurubr
Ulmus serotina,September elm,Little (1971),197.1-E,ulmusero
Ulmus thomasii,rock elm,Little (1971),200-E,ulmuthom
Umbellularia californica,California laurel,Little (1971),199-W,umbecali
Ungnadia speciosa,Mexican buckeye,Little (1976),196,ungnspec
Vaccinium arboreum,tree sparkleberry,Little (1977),154,vaccarbo
Vauquelinia californica,Torrey vauquelinia,Little (1976),197,vauqcali
Vauquelinia pauciflora,fewflower vauquelinia,Little (1976),198,vauqpauc
Viburnum lentago,nannyberry,"Little (1976, 1977)","199, 155",vibulent
Viburnum nudum,possumhaw viburnum,Little (1977),156,vibunudu
Viburnum obovatum,Walter viburnum,Little (1977),157,vibuobov
Viburnum prunifolium,blackhaw,Little (1977),158,vibuprun
Viburnum rufidulum,rusty blackhaw,Little (1977),160,viburufi
Viburnum trilobum,American cranberrybush,"Little (1976, 1977)","200,159-N,159-NE",vibutril
Washingtonia filifera,California washingtonia,Little (1976),201,washfili
Ximenia americana,tallowwood,Little (1978),253,ximeamer
Yucca aloifolia,aloe yucca,Little (1977),161,yuccaloi
Yucca brevifolia,Joshua tree,Little (1976),202,yuccbrev
Yucca carnerosana,Carneros yucca,Little (1976),203,yucccarn
Yucca elata,soaptree yucca,Little (1976),204,yuccelat
Yucca faxoniana,Faxon yucca,Little (1976),205,yuccfaxo
Yucca gloriosa,moundlily yucca,Little (1977),162,yuccglor
Yucca mohavensis,Mohave yucca,Little (1976),206,yuccmoha
Yucca rostrata,beaked yucca,Little (1976),207,yuccrost
Yucca schottii,Schotts yucca,Little (1976),208,yuccscho
Yucca torreyi,Torrey yucca,Little (1976),209,yucctorr
Yucca treculeana,Trecul yucca,Little (1976),210,yucctrec
Zanthoxylum americanum,common prickly ash,Little (1977),163,zantamer
Zanthoxylum clava-herculis,Hercules club,Little (1977),165,NA
Zanthoxylum coriaceum,Biscayne prickly ash,Little (1978),254,zantcori
Zanthoxylum fagara,lime prickly ash,"Little (1977, 1978)","164-N, 164-SE, 255",zantfaga
Zanthoxylum flavum,West Indies satinwood,Little (1978),256,zantflav
Zanthoxylum hirsutum,Texas Hercules club,Little (1977),166,zanthirs
